DBN,School Name,Eligibility,Year,Total Enrollment,GRADES,Grade 5enrol,Grade 6Enrol,Grade 7,Grade 8,Total 6-8 enrollment,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Needs Index,2015-16 grade 6 applicants - GE,2015-16 grade 6 seats - GE,2015-16 grade 6 applicants - SWD,2015-16 grade 6 seats - SWD,admissions priorities,selection criteria,School uniform,language other than English taught,pct_students_met_state_std_ELA,pct_students_met_state_std_Math,ADDRESS,ZIP,coords.x1,coords.x2,City,latitude,longitude
03M149,P.S. 149 Sojourner Truth,Borough-wide,2015-16,285,"PK,0K,01,02,03,04,05,06,07,08",35,24,30,31,85,141,0.49473685,144,0.50526315,8,0.028070176,183,0.642105281,78,0.273684204,11,0.038596492,5,0.01754386,83,0.291228056,26,0.091228068,259,0.908771932,0.857774854,97,32,41,8,1. Priority to continuing 5th grade students; 2. Then to students residing in the elementary school zone; 3. Then to students and residents of District 3; 4. Then to students and residents of Manhattan. Last year this program admitted students from all priority groups.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,Y,French,0.116,0.061,41 WEST 117 STREET,10026,998595.1985,231664.4651,New York,40.8026661,-73.9482563
03M243,M.S. 243 Center School,Borough-wide,2015-16,236,"05,06,07,08",61,58,61,56,175,122,0.516949177,114,0.483050853,19,0.080508478,35,0.148305088,28,0.118644066,9,0.038135592,145,0.614406765,23,0.097457625,0,0,28,0.118644066,0.184367329,NA,NA,NA,NA,NA,NA,N,Latin,0.86,0.829,100 WEST  84 STREET,10024,991493.6087,225264.064,New York,40.785101,-73.9738666
03M256,M.S. 256 Academic & Athletic Excellence,Borough-wide,2015-16,138,"06,07,08",0,37,57,44,138,55,0.398550719,83,0.601449251,3,0.021739131,70,0.507246375,52,0.376811594,3,0.021739131,10,0.072463766,40,0.289855063,26,0.188405797,114,0.826086938,0.718921423,103,24,14,6,"Preference is given to the following students: English Language Learners (ELLs), Heritage Language Speakers of the target language, Participants of elementary school level Dual Language and Transitional Bilingual Education programs in the target language.","Academic and Personal Behaviors; Attendance; Course work in Dual Language French Courses; Prior Participation in French Dual Language Program. This program will see where you rank it on your child¨¹s application, this influences how the program evaluates your child¨¹s application.",NA,NA,0.163,0.128,154 WEST  93 STREET,10025,992229.7602,227698.4998,New York,40.7916848,-73.9707702
03M334,The Anderson School,City-wide,2015-16,559,"0K,01,02,03,04,05,06,07,08",52,90,74,62,226,292,0.522361338,267,0.477638632,157,0.280858666,24,0.042933811,48,0.085867621,35,0.062611803,295,0.527728081,18,0.032200359,1,0.001788909,55,0.098389983,0.130839854,NA,NA,NA,NA,NA,NA,N,Spanish,0.952,0.97,100 WEST  77 STREET,10024,990349.1647,223836.1979,New York,40.7810814,-73.9780846
03M415,Wadleigh Secondary School for the Performing & Vis,Borough-wide,2015-16,377,"06,07,08,09,10,11,12",0,19,13,14,46,242,0.641909838,135,0.358090192,7,0.018567638,198,0.525198936,164,0.435013264,4,0.010610079,4,0.010610079,92,0.244031832,18,0.047745358,377,1,0.784014463,104,30,53,5,1. Priority to students and residents of Districts 3 and 5; 2. Then to students and residents of Manhattan. Last year this program admitted students from all priority groups.,Attendance; Final 4th Grade report Card; Punctuality; 4th Grade New York State ELA and Math Exams,Y,NA,0.111,0,215 WEST 114 STREET,10026,996905.8871,231710.596,New York,40.8022843,-73.9540802
04M050,P.S. 050 Vito Marcantonio,Borough-wide,2015-16,288,"0K,01,02,03,04,05,06,07,08",31,27,28,37,92,132,0.458333343,156,0.541666687,3,0.010416667,130,0.451388896,152,0.527777791,2,0.006944444,1,0.003472222,83,0.288194448,28,0.097222224,288,1,0.889024496,66,28,31,4,1. Priority to continuing 5th grade students; 2. Then to students residing in the elementary school zone; 3. Then to students and residents of District 4; 4. Then to students and residents of Manhattan. Last year this program admitted students from all priority groups.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,Y,NA,0.153,0.118,433 EAST 100 STREET,10029,1000532.466,225499.2496,New York,40.7854776,-73.9410263
04M377,Renaissance School of the Arts,Borough-wide,2015-16,163,"06,07,08",0,49,55,59,163,96,0.588957071,67,0.411042958,1,0.006134969,74,0.453987718,86,0.527607381,0,0,2,0.012269938,57,0.349693239,17,0.104294479,131,0.803680956,0.829784274,184,54,64,12,1. Priority to students and residents of District 4 who sign in at an event; 2. Then to students and residents of Manhattan who sign in at an event; 3. Then to students and residents of District 4; 4. Then to students and residents of Manhattan. Last year this program admitted students from all priority groups.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,Y,NA,0.167,0.063,410 EAST 100 STREET,10029,1000176.469,225337.1582,New York,40.7850266,-73.9420076
05M123,P.S. 123 Mahalia Jackson,Borough-wide,2015-16,554,"PK,0K,01,02,03,04,05,06,07,08",51,58,57,62,177,269,0.485559553,285,0.514440417,9,0.016245488,289,0.521660626,225,0.406137198,7,0.012635379,24,0.0433213,121,0.21841155,96,0.173285201,483,0.871841133,0.865108013,99,49,42,11,1. Priority to continuing 5th grade students; 2. Then to students residing in the elementary school zone who sign in an event; 3. Then to students and residents of District 5 who sign in an event; 4. Then to students and residents of Manhattan who sign in an event. 5. Then to students residing in the elementary school zone; 6. Then to students and residents of District 4; 7. Then to students and residents of Manhattan.Last year this program admitted students from all priority groups.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,Y,French,0.17,0.047,301 WEST 140 STREET,10030,999649.658,238086.537,New York,40.820192,-73.9444569
05M148,Eagle Academy for Young Men of Harlem,Borough-wide,2015-16,195,"06,07,08,09,10,11,12",0,61,58,76,195,0,0,195,1,0,0,145,0.743589759,46,0.235897437,3,0.015384615,1,0.005128205,46,0.235897437,5,0.025641026,136,0.697435915,0.778805196,180,53,93,17,All boys school open to students and residents of Manhattan. 1. Priority to students and residents of Manhattan who sign in at an event; 2. Then to students and residents of Manhattan.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,Y,Latin,0.206,0.07,6 Edgecombe Avenue,10030,NA,NA,New York,40.8172824,-73.947238
06M528,I.S. 528 Bea Fuller Rodgers School,Borough-wide,2015-16,206,"06,07,08",0,78,60,68,206,110,0.533980608,96,0.466019422,2,0.009708738,4,0.019417476,199,0.966019392,0,0,1,0.004854369,46,0.223300964,40,0.194174752,199,0.966019392,0.826394618,177,83,51,12,1. Priority to students residing in the zone; 2. Then to students and residents of District 6; 3. Then to students and residents of Manhattan.Last year this program admitted students from all priority groups.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,Y,Spanish,0.207,0.103,180 WADSWORTH AVENUE,10033,1002325.443,249195.1972,New York,40.8506756,-73.9346974
30Q300,The 30th Avenue School (G&T Citywide),City-wide,2015-16,236,"0K,01,02,03,04,06,07",0,51,25,0,76,122,0.516949177,114,0.483050853,106,0.449152529,13,0.055084746,21,0.088983051,24,0.101694912,72,0.305084735,11,0.046610169,2,0.008474576,236,1,0.256130338,790,78,67,12,1. Priority to students in the P.S.85 Gifted and Talented program; 2. Then to NYC residents. Last year this program admitted students from all priority groups.,Atendance 10%; Final 4th Grade Report Card 35%; New York State Math Exam 17.5%; New York State ELA Exam 17.5%; Academic and Personal Behaviors 20%,Y,Spanish,0.88,0.893,28-37 29th Street,11102,NA,NA,New York,40.7682186,-73.9228164
84M523,Success Academy Charter School - Upper West,Charter - Dist 2,2015-16,542,"0K,01,02,03,04,06,07",61,0,0,0,0,268,0.494464934,274,0.505535066,49,0.090405904,87,0.160516605,172,0.317343175,22,0.040590405,212,0.391143918,90,0.166051656,9,0.016605167,143,0.263837636,0.358934164,NA,NA,NA,NA,NA,NA,NA,NA,0.898,0.975,439 West 49th Street,10019,NA,NA,New York,40.7639993,-73.9908346
